date,value
,
"Dec. 31, 2019",0.00
"Sept. 30, 2019",237.00M
"June 30, 2019",0.00
"March 31, 2019",0.00
"Dec. 31, 2018",0.00
"Sept. 30, 2018",75.00M
"June 30, 2018",0.00
"March 31, 2018",89.00M
"Dec. 31, 2017",0.00
"Sept. 30, 2017",0.00
"June 30, 2017",131.00M
"March 31, 2017",0.00
"Dec. 31, 2016",0.00
"Sept. 30, 2016",0.00
"June 30, 2016",0.00
"March 31, 2016",145.00M
"Dec. 31, 2015",0.00
"Sept. 30, 2015",38.00M
"June 30, 2015",91.00M
"March 31, 2015",0.00
"Dec. 31, 2014",0.00
"Sept. 30, 2014",1.102B
"June 30, 2014",862.00M
"March 31, 2014",
"Dec. 31, 2013",49.00M
,
"Sept. 30, 2013",77.00M
"June 30, 2013",77.00M
"March 31, 2013",10.00M
"Dec. 31, 2012",33.00M
"Sept. 30, 2012",33.00M
"June 30, 2012",32.00M
"March 31, 2012",27.00M
"Dec. 31, 2011",0.00
"Sept. 30, 2011",0.00
"June 30, 2011",0.00
"March 31, 2011",0.00
"Dec. 31, 2010",-109.00M
"Sept. 30, 2010",-388.00M
"June 30, 2010",-312.00M
"March 31, 2010",-530.00M
"Dec. 31, 2009",-180.00M
"Sept. 30, 2009",-619.00M
"June 30, 2009",-1.651B
"March 31, 2009",0.00
"Dec. 31, 2008",-93.00M
"Sept. 30, 2008",-519.00M
"June 30, 2008",-81.00M
"March 31, 2008",-63.00M
"Dec. 31, 2007",-98.00M
"Sept. 30, 2007",-101.00M
