date,value
,
"Dec. 31, 2017",1.498B
"Sept. 30, 2017",1.498B
"June 30, 2017",1.496B
"March 31, 2017",0.00
"Dec. 31, 2016",999.00M
"Sept. 30, 2016",1.201B
"June 30, 2016",0.00
"March 31, 2016",300.00M
"Dec. 31, 2015",632.00M
"Sept. 30, 2015",889.00M
"June 30, 2015",1.699B
"March 31, 2015",300.00M
"Dec. 31, 2014",3.109B
"Sept. 30, 2014",168.00M
"June 30, 2014",0.00
"March 31, 2014",0.00
,
"Dec. 31, 2013",0.00
"Sept. 30, 2013",2.438B
"June 30, 2013",
"March 31, 2013",
"Dec. 31, 2012",5.098B
"Sept. 30, 2012",0.00
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",-100.00M
"Sept. 30, 2011",0.00
"June 30, 2011",0.00
"March 31, 2011",100.00M
"Dec. 31, 2010",-3.401B
"Sept. 30, 2010",0.00
"June 30, 2010",6.00M
"March 31, 2010",0.00
