date,value
,
"Jan. 31, 2020",278.08M
"Oct. 31, 2019",462.14M
"July 31, 2019",617.75M
"April 30, 2019",226.85M
"Jan. 31, 2019",234.18M
"Oct. 31, 2018",-19.34M
"July 31, 2018",1.139B
"April 30, 2018",55.83M
"Jan. 31, 2018",-132.01M
"Oct. 31, 2017",495.46M
"July 31, 2017",-181.32M
"April 30, 2017",647.54M
"Jan. 31, 2017",105.71M
"Oct. 31, 2016",-41.41M
"July 31, 2016",21.03M
"April 30, 2016",-37.06M
"Jan. 31, 2016",278.42M
"Oct. 31, 2015",5.878M
"July 31, 2015",-7.414M
"April 30, 2015",-175.03M
"Jan. 31, 2015",66.98M
"Oct. 31, 2014",-72.44M
"July 31, 2014",114.68M
"April 30, 2014",-93.06M
"Jan. 31, 2014",-29.94M
,
"Oct. 31, 2013",323.88M
"July 31, 2013",294.36M
"April 30, 2013",-41.58M
"Jan. 31, 2013",-70.49M
"Oct. 31, 2012",-59.10M
"July 31, 2012",-4.588M
"April 30, 2012",-89.76M
"Jan. 31, 2012",-10.77M
"Oct. 31, 2011",-720.08M
"July 31, 2011",-36.72M
"April 30, 2011",-112.22M
"Jan. 31, 2011",-81.59M
"Oct. 31, 2010",-70.97M
"July 31, 2010",-246.29M
"April 30, 2010",-249.23M
"Jan. 31, 2010",-41.77M
"Oct. 31, 2009",-47.72M
"July 31, 2009",-126.53M
"April 30, 2009",35.53M
"Jan. 31, 2009",-1.187B
"Oct. 31, 2008",-84.65M
"July 31, 2008",-98.87M
"April 30, 2008",-9.642M
"Jan. 31, 2008",-31.33M
"Oct. 31, 2007",-47.48M
