date,value
,
"Dec. 31, 2019",0.00
"Sept. 30, 2019",0.232M
"June 30, 2019",-848.23M
"March 31, 2019",
"Dec. 31, 2018",0.00
"Sept. 30, 2018",0.00
"June 30, 2018",0.00
"March 31, 2018",
"Dec. 31, 2017",0.175M
"Sept. 30, 2017",0.00
"June 30, 2017",0.00
"March 31, 2017",-400.18M
"Dec. 31, 2016",0.00
"Sept. 30, 2016",0.00
"June 30, 2016",-1.702B
"March 31, 2016",0.00
"Dec. 31, 2015",0.00
"Sept. 30, 2015",-750.00M
"June 30, 2015",0.00
"March 31, 2015",
"Dec. 31, 2014",0.00
,
"Sept. 30, 2014",0.00
"June 30, 2014",
"March 31, 2014",
"Dec. 31, 2013",0.00
"Sept. 30, 2013",0.00
"June 30, 2013",-415.00M
"March 31, 2013",
"Dec. 31, 2012",-221.50M
"Sept. 30, 2012",0.00
"June 30, 2012",0.00
"March 31, 2012",
"Dec. 31, 2011",0.00
"Sept. 30, 2011",0.013M
"June 30, 2011",-231.48M
"March 31, 2011",
"Dec. 31, 2010",-30.00M
"Sept. 30, 2010",-238.84M
"June 30, 2010",0.00
"March 31, 2010",
"Dec. 31, 2009",0.00
"Sept. 30, 2009",0.00
